floor,in_scope_answer_rate,in_scope_answered_count,in_scope_total,out_of_scope_refusal_rate,out_of_scope_refused_count,out_of_scope_total
0.4,1.0,30,30,0.95,19,20
0.41,1.0,30,30,0.95,19,20
0.42,1.0,30,30,0.95,19,20
0.43,1.0,30,30,0.95,19,20
0.44,1.0,30,30,0.95,19,20
0.45,1.0,30,30,0.95,19,20
0.46,1.0,30,30,0.95,19,20
0.47,1.0,30,30,0.95,19,20
0.48,1.0,30,30,1.0,20,20
0.49,1.0,30,30,1.0,20,20
0.5,1.0,30,30,1.0,20,20
0.51,0.9667,29,30,1.0,20,20
0.52,0.9667,29,30,1.0,20,20
0.53,0.9333,28,30,1.0,20,20
0.54,0.9333,28,30,1.0,20,20
0.55,0.9333,28,30,1.0,20,20
0.56,0.9,27,30,1.0,20,20
0.57,0.8333,25,30,1.0,20,20
0.58,0.8333,25,30,1.0,20,20
0.59,0.8,24,30,1.0,20,20
0.6,0.8,24,30,1.0,20,20
